FR38448536771
FR49340171511
BE0465281680
FR89377679840
BE0887357879
DE831698757
DE812159315
ESA41742154
HR48351740621
DE224698243
GB647592107
ROR950531
GB405266178
IL514067230
PL8820003622
ESB95381596
GB640632560
DE220785254
DE811178046
IT02768140242
DE268475149
DK32591655
BE0848047046
ESB28075851
RO18599655
BE0404000446
DE137859102
GB155657736
BE0441557163
ESA59030015
CH675511
IT00924450679
GB864457688
PL5861044266
IT10676490153
DE304550008
IT00551340987
BE0476081146
BE0441428489
BE0429666250
DE813682847
AUS005041984
RO9641092
ESA46134359
HU26951683
A08305211
IT05515080967
BE0864977011
IT03200690968
PL7821018157
BE0412537139
ESB84728625
DE184359164
RO18066946
BE0438950833
DE171889903
GB175297628
DE127474680
BE0419290121
BE0475069574
BE0446780416
BE0417289347
BE0428310428
BE0435776755
DE270216768
510523889
BE0866870786
ESB61507133
PT507004493
ESB03016268
ESA80949175
ESB79217790
GB742174935
BE0432637222
GB683457403
GB986509467
GB746158025
ESB28772283
ESB91972927
GB155334321
ESB29869856
BE0472490067
ESA96302724
ESB80330947
ESA28570190
BE0419623681
GB308537750
ESA79153920
GB831792516
BE0407186204
GB682635707
BE0419967339
BE0403638279
BE0898833672
BE0472050203
GB207560675
BE0403523859
ESB86655859
ESB91800011
DE199204941
BE0463716913
BE0827393271
BE0416112380
GB137496343
GB806171548
BE0455231886
BE0442033156
ESB82613571
GB157107671
BE0436269574
ESB41034885
BE0431239432
BE0426664101
BE0474164407
BE0477995412
